(PDH-CSV 4.0) (,\\DESKTOP-LLNG3C2\Process(_Total)\Private Bytes,\\DESKTOP-LLNG3C2\Processor(_Total)\% Processor Time
08/28/2025 16:32:53.636,3101159424,10.49543321
08/28/2025 16:32:54.645,3100872704,8.175965699
08/28/2025 16:32:55.652,3101306880,11.20693215
08/28/2025 16:32:56.645,3100536832,7.988452032
08/28/2025 16:32:57.637,3100475392,12.91210651
08/28/2025 16:32:58.646,3100090368,6.719824324
08/28/2025 16:32:59.653,3100557312,8.504780281
08/28/2025 16:33:00.645,3102351360,8.560511904
08/28/2025 16:33:01.651,3100741632,8.373938691
08/28/2025 16:33:02.660,3099922432,9.406294008
08/28/2025 16:33:03.652,3100590080,9.038152626
08/28/2025 16:33:04.641,3099865088,10.38758498
08/28/2025 16:33:05.643,3099992064,17.70693334
08/28/2025 16:33:06.652,3099205632,10.57254289
08/28/2025 16:33:07.653,3100209152,11.87488127
08/28/2025 16:33:08.646,3099435008,6.750651867
08/28/2025 16:33:09.636,3106615296,11.96556415
08/28/2025 16:33:10.659,3101798400,6.482943418
08/28/2025 16:33:11.634,3102588928,7.824126664
08/28/2025 16:33:12.657,3101941760,8.791767053
08/28/2025 16:33:13.647,3102609408,10.42061816
08/28/2025 16:33:14.639,3101929472,7.813613485
08/28/2025 16:33:15.662,3102552064,9.130676672
08/28/2025 16:33:16.655,3101532160,7.174071109
08/28/2025 16:33:17.663,3102461952,8.109223012
08/28/2025 16:33:18.638,3101769728,10.73072306
08/28/2025 16:33:19.646,3102654464,9.258792311
08/28/2025 16:33:20.639,3101691904,6.4370975
08/28/2025 16:33:21.647,3102552064,8.559169248
08/28/2025 16:33:22.639,3101630464,8.179055222
08/28/2025 16:33:23.662,3102294016,10.30903691
08/28/2025 16:33:24.656,3101478912,7.669394469
08/28/2025 16:33:25.647,3102277632,8.931284859
08/28/2025 16:33:26.654,3101958144,8.061541823
08/28/2025 16:33:27.662,3101765632,10.89068894
08/28/2025 16:33:28.653,3102191616,9.312868748
08/28/2025 16:33:29.646,3101462528,9.08180608
08/28/2025 16:33:30.652,3102695424,11.14985264
08/28/2025 16:33:31.659,3101462528,8.070040565
08/28/2025 16:33:32.650,3102294016,8.933197465
08/28/2025 16:33:33.654,3101470720,14.35338161
08/28/2025 16:33:34.645,3102244864,9.367511707
08/28/2025 16:33:35.652,3101413376,11.19522478
08/28/2025 16:33:36.642,3101741056,8.837992763
08/28/2025 16:33:37.650,3101470720,6.17381624
08/28/2025 16:33:38.641,3102175232,10.57098715
08/28/2025 16:33:39.650,3101765632,9.784617507
08/28/2025 16:33:40.656,3102257152,10.31752595
08/28/2025 16:33:41.649,3102449664,9.154073391
08/28/2025 16:33:42.641,3103195136,9.002652742
08/28/2025 16:33:43.647,3102752768,7.223286317
08/28/2025 16:33:44.652,3104292864,9.794787995
08/28/2025 16:33:45.646,3102834688,5.645461033
08/28/2025 16:33:46.651,3103535104,12.22175446
08/28/2025 16:33:47.641,3102830592,8.470533269
08/28/2025 16:33:48.648,3103145984,6.440254393
08/28/2025 16:33:49.655,3102720000,10.01802916
08/28/2025 16:33:50.645,3103313920,9.842579245
08/28/2025 16:33:51.636,3102912512,10.72389277
08/28/2025 16:33:52.644,3103436800,6.586973405
08/28/2025 16:33:53.636,3102765056,8.65628021
08/28/2025 16:33:54.643,3102306304,7.699450597
08/28/2025 16:33:55.650,3101388800,8.478538285
08/28/2025 16:33:56.642,3102044160,9.442010078
08/28/2025 16:33:57.649,3101261824,7.267667486
08/28/2025 16:33:58.640,3102359552,10.50088866
08/28/2025 16:33:59.648,3100905472,8.133332222
08/28/2025 16:34:00.637,3104075776,12.32922428
08/28/2025 16:34:01.645,3100127232,7.790896259
08/28/2025 16:34:02.651,3100057600,12.58853344
08/28/2025 16:34:03.641,3099275264,8.129534506
08/28/2025 16:34:04.634,3099246592,8.328663263
08/28/2025 16:34:05.641,3099443200,11.9706387
08/28/2025 16:34:06.649,3098935296,9.28804119
08/28/2025 16:34:07.640,3100569600,11.3022202
08/28/2025 16:34:08.647,3099942912,7.283608901
08/28/2025 16:34:09.654,3100098560,11.94120296
08/28/2025 16:34:10.645,3099795456,6.999724089
08/28/2025 16:34:11.651,3100397568,13.81874525
08/28/2025 16:34:12.643,3099328512,5.487958864
08/28/2025 16:34:13.652,3099787264,8.178589427
08/28/2025 16:34:14.644,3099201536,7.475899072
08/28/2025 16:34:15.650,3100217344,9.987668931
08/28/2025 16:34:16.643,3098976256,9.87557924
08/28/2025 16:34:17.650,3099770880,9.614573349
08/28/2025 16:34:18.642,3098931200,7.092850511
08/28/2025 16:34:19.648,3099811840,12.18565885
08/28/2025 16:34:20.640,3098988544,8.298332314
08/28/2025 16:34:21.646,3099815936,8.309699822
08/28/2025 16:34:22.653,3098910720,6.568283152
08/28/2025 16:34:23.660,3099758592,9.974882371
08/28/2025 16:34:24.651,3098906624,8.162322582
08/28/2025 16:34:25.644,3099803648,8.314977652
08/28/2025 16:34:26.651,3099103232,8.077453219
08/28/2025 16:34:27.657,3099889664,8.758552313
08/28/2025 16:34:28.650,3098890240,7.175940447
08/28/2025 16:34:29.657,3099721728,8.421287805
08/28/2025 16:34:30.649,3099418624,9.077098141
08/28/2025 16:34:31.639,3099877376,6.859222773
08/28/2025 16:34:32.646,3098685440,8.11767646
08/28/2025 16:34:33.653,3099324416,11.11201205
08/28/2025 16:34:34.658,3098353664,9.852161524
08/28/2025 16:34:35.645,3098976256,12.17478402
08/28/2025 16:34:36.651,3098054656,12.98066868
08/28/2025 16:34:37.658,3099181056,9.616503139
08/28/2025 16:34:38.649,3098394624,6.56513838
08/28/2025 16:34:39.640,3099467776,10.56629689
08/28/2025 16:34:40.649,3098435584,7.488882935
08/28/2025 16:34:41.641,3099156480,9.83421769
08/28/2025 16:34:42.649,3098386432,8.086935362
08/28/2025 16:34:43.655,3099418624,10.74570323
08/28/2025 16:34:44.648,3098603520,7.541822129
08/28/2025 16:34:45.639,3098537984,8.969963762
08/28/2025 16:34:46.662,3099480064,7.156823027
08/28/2025 16:34:47.639,3098456064,9.300107616
08/28/2025 16:34:48.648,3098841088,5.86306203
08/28/2025 16:34:49.639,3098492928,11.7206968
08/28/2025 16:34:50.662,3099189248,9.167272422
08/28/2025 16:34:51.654,3098800128,8.624837327
08/28/2025 16:34:52.662,3099234304,8.868173616
