procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 KST
 0  0      0 31470944   5504 6110188    0    0     0     0  997 1692  0  0 100  0  0 2025-08-25 13:14:39
 0  0      0 31470944   5504 6110188    0    0     0     0  808 1379  0  0 100  0  0 2025-08-25 13:14:40
 0  0      0 31470944   5504 6110188    0    0     0    28  937 1437  0  0 100  0  0 2025-08-25 13:14:41
 0  0      0 31470944   5504 6110188    0    0     0     0 1784 1952  0  0 100  0  0 2025-08-25 13:14:42
 0  0      0 31470692   5504 6110188    0    0     0    48 1840 1960  0  0 100  0  0 2025-08-25 13:14:43
 0  0      0 31470692   5504 6110188    0    0     0     0 1494 1709  0  0 100  0  0 2025-08-25 13:14:44
 0  0      0 31470692   5504 6110188    0    0     0     0  908 1366  0  0 100  0  0 2025-08-25 13:14:45
 0  0      0 31470692   5504 6110188    0    0     0     0 1580 2101  0  0 100  0  0 2025-08-25 13:14:46
 0  0      0 31470692   5504 6110188    0    0     0     4 3380 3702  0  0 100  0  0 2025-08-25 13:14:47
 0  0      0 31470692   5504 6110188    0    0     0     0  902 1404  0  0 100  0  0 2025-08-25 13:14:48
 0  0      0 31470692   5504 6110188    0    0     0    52  866 1384  0  0 100  0  0 2025-08-25 13:14:49
 0  0      0 31470692   5504 6110188    0    0     0     0  811 1343  0  0 100  0  0 2025-08-25 13:14:50
 0  0      0 31470692   5504 6110188    0    0     0     0  889 1387  0  0 100  0  0 2025-08-25 13:14:51
 0  0      0 31470692   5504 6110188    0    0     0     0  872 1388  0  0 100  0  0 2025-08-25 13:14:52
 0  0      0 31470692   5504 6110188    0    0     0     4 1096 1392  0  0 100  0  0 2025-08-25 13:14:53
 0  0      0 31470692   5504 6110188    0    0     0    40  860 1374  0  0 100  0  0 2025-08-25 13:14:54
 0  0      0 31470692   5504 6110188    0    0     0     0  914 1381  0  0 100  0  0 2025-08-25 13:14:55
 0  0      0 31470692   5504 6110188    0    0     0     0  978 1434  0  0 100  0  0 2025-08-25 13:14:56
 0  0      0 31470692   5504 6110188    0    0     0     0  954 1428  0  0 100  0  0 2025-08-25 13:14:57
 0  0      0 31470692   5504 6110188    0    0     0     0  897 1366  0  0 100  0  0 2025-08-25 13:14:58
 0  0      0 31470692   5504 6110188    0    0     0    56  961 1427  0  0 100  0  0 2025-08-25 13:14:59
